motion_path	parliament_year	false_positives	xml_predicted_signee_count	extra_rate	precision	true_positives	false_negatives	unknown_signature_count	signature_item_count	false_positive_ids	false_positive_names	gold_ids	motion
data/1964/mot-1964--fk--00824.xml	1964	4	4	1.0	0.0	0	2	1	5	i-8Lq2FtVLPjm4ZuNxycmaDK; i-CSGB7BSLWcVycgnbynHD51; i-GLno3eQa9T5zWF3tzFnibf; i-NrbxPf13DGzMk6GuWQTaKk	i-8Lq2FtVLPjm4ZuNxycmaDK (Ivan Svanström); i-CSGB7BSLWcVycgnbynHD51 (Knut Johansson); i-GLno3eQa9T5zWF3tzFnibf (Nils-Eric Gustafsson); i-NrbxPf13DGzMk6GuWQTaKk (Carl Albert Anderson)	i-Uu3ii7QQsF5DRLG8s64oZ8; i-Ya2sXBkHdvFiAX2aAMCu84	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1964/mot-1964--fk--00824.xml
data/1957/mot-1957--fk--00415.xml	1957	3	3	1.0	0.0	0	2	3	6	i-5P9bYmBiudN4V5HJc3cCdi; i-GFTRsNqinZi5u1Qbi8pmh8; i-mNZQ3wQBgCkkcFfgCUwyT	i-5P9bYmBiudN4V5HJc3cCdi (Gunnar Svärd); i-GFTRsNqinZi5u1Qbi8pmh8 (Yngve Nilsson); i-mNZQ3wQBgCkkcFfgCUwyT (Ebbe Ohlsson)	i-N9AjjY11HAeYEZv7pS9mmC; i-VXG8kMCZePBb7hdhGDDpqG	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1957/mot-1957--fk--00415.xml
data/201415/mot-201415-NU-02749.xml	201415	3	3	1.0	0.0	0	1	0	3	i-3YAEMbZXswzuyekFnSxXSF; i-L2jZQY1rmXeXy9EGfsxUKG; i-SQtBtzxQLj4TaXXq9jLy7r	i-3YAEMbZXswzuyekFnSxXSF (Olle Thorell); i-L2jZQY1rmXeXy9EGfsxUKG (Lars Eriksson); i-SQtBtzxQLj4TaXXq9jLy7r (Pia Nilsson)	i-S1jBpohzgG7cgcBjfgN1Fb	https://github.com/swerik-project/riksdagen-motions/blob/main/data/201415/mot-201415-NU-02749.xml
data/1947/mot-1947--ak--00422.xml	1947	2	2	1.0	0.0	0	4	1	3	i-6qNV5dntxbsrdQyVsjxWoW; i-Kv4hUGrgspgE3ZEpZrgHtZ	i-6qNV5dntxbsrdQyVsjxWoW (Folke Kyling); i-Kv4hUGrgspgE3ZEpZrgHtZ (Henry Allard)	i-3F1eUNkWXaMuYwB6Z4eGSH; i-72h2c4CqR4dcDaG6HR3mAB; i-7k8zFFY69k9DVxZJwLskxW; i-V7NiAeWY2Xibey7Z9PGYKr	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1947/mot-1947--ak--00422.xml
data/1968/mot-1968--fk--00735.xml	1968	2	2	1.0	0.0	0	3	3	5	i-4UgQ2nJDsz9iU1xxKcTpmu; i-FcSHwyiPoR4KQVGMkW2y5K	i-4UgQ2nJDsz9iU1xxKcTpmu (Elvy Olsson); i-FcSHwyiPoR4KQVGMkW2y5K (Anna-Lisa Nilsson)	i-DjzMK2q4HBp8SxyHxFkXFq; i-Lr6SgKhYd2CyYMfVp5ZboP; i-S9zAqkxFcyEpCQ17ZA2QJ8	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1968/mot-1968--fk--00735.xml
data/198081/mot-198081--00047.xml	198081	2	2	1.0	0.0	0	14	1	3	i-8Lq2FtVLPjm4ZuNxycmaDK; i-FdvWw4zD2L3JULLMLZP4N7	i-8Lq2FtVLPjm4ZuNxycmaDK (Ivan Svanström); i-FdvWw4zD2L3JULLMLZP4N7 (Kjell A. Mattsson)	i-3kAjBmVsLrV8XDTkSBhmB8; i-4sZMUTZ58TFSSwfWoaTdDi; i-4zgkigyuo3a2meU92gcyAk; i-6TjCaZscDfHaRCMjT3p2wD; i-6V941ptYoLBrpqJyJPSEbT; i-7Uv5b4af4nUb3NuFk7J8yJ; i-9JsxBiraiBoy2MDeoaZACy; i-9P9pMwjrnX38LhidwctarW; i-AnrRW8P2FoZPwmfbQGBp8u; i-HGfALYBg5SLYb8z1er3XK1; i-PQWJzhaevKGbSNtPqoUeSA; i-TtvHecYGhXDKbncEMyzhpQ; i-Un2MPRTWRPWQ7aGPA42b56; i-VYTD8M9CfGigSH3YKEqEEz	https://github.com/swerik-project/riksdagen-motions/blob/main/data/198081/mot-198081--00047.xml
data/1874/mot-1874--ak--00016.xml	1874	1	1	1.0	0.0	0	4	2	3	i-LuFYHhoNXD6PSHzC7CsSDs	i-LuFYHhoNXD6PSHzC7CsSDs (Axel Wilhelm Wigardt)	i-5GqnTURvMSP3hjBB327kuL; i-CWFbCpTNYcEzzAhNPvdKj9; i-Vob6hqQX7xJmVsZEt2LqUi; i-W25G9CwkvEKmT8UAjmJw3U	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00016.xml
data/1875/mot-1875--fk--00044.xml	1875	1	1	1.0	0.0	0	1	0	1	i-Csc7yC4r8hvm8juPSLyuDt	i-Csc7yC4r8hvm8juPSLyuDt (Edvard Frisk)	i-MUyEorK3Jrs76puMnBfwJQ	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00044.xml
data/1876/mot-1876--fk--00014.xml	1876	1	1	1.0	0.0	0	1	1	2	i-BWrrLCo5SxLJXHedGLLCjS	i-BWrrLCo5SxLJXHedGLLCjS (Anders Wallenius)	i-WmTdAfV5HETvBJeXjPDkNq	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--fk--00014.xml
data/1883/mot-1883--ak--00044.xml	1883	1	1	1.0	0.0	0	1	2	3	i-3h4JLudD4ghwrTDYsHbDm4	i-3h4JLudD4ghwrTDYsHbDm4 (Ola Andersson)	i-QNVcQXgDqnpMz9845nhFr1	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1883/mot-1883--ak--00044.xml
data/1902/mot-1902--ak--00007.xml	1902	1	1	1.0	0.0	0	1	1	2	i-E92rgqKkvM4kNk9eGmN4Vz	i-E92rgqKkvM4kNk9eGmN4Vz (Magnus Höjer)	i-9My6zQNwR987YADn41a1Q6	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1902/mot-1902--ak--00007.xml
data/1949/mot-1949--ak--00353.xml	1949	1	1	1.0	0.0	0	1	1	2	i-TgGh4sLEipttrpG4XAgn6h	i-TgGh4sLEipttrpG4XAgn6h (Martin Skoglund)	i-KibauNu6CSDswgonTZCuVD	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1949/mot-1949--ak--00353.xml
data/1957/mot-1957--fk--00153.xml	1957	1	1	1.0	0.0	0	2	0	1	i-QvSu31FkrjuHQxA21VW3dr	i-QvSu31FkrjuHQxA21VW3dr (Josef Nord)	i-HSVLs9EuZHSqQ2QS5VoFwi; i-WohT7ca1a7EZGHQCA6XaLU	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1957/mot-1957--fk--00153.xml
data/1962/mot-1962--ak--00494.xml	1962	1	1	1.0	0.0	0	2	1	2	i-SU3GVVoAF9WBfUSn5nRE5m	i-SU3GVVoAF9WBfUSn5nRE5m (Einar Larsson)	i-QXiGidLhFr3yVPmDxRSa4h; i-UgwyXZW5Y9UVnaeQC5yZU8	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1962/mot-1962--ak--00494.xml
data/1964/mot-1964--fk--00576.xml	1964	1	1	1.0	0.0	0	4	1	2	i-QW3U8q9gqCreU8hvXKjp44	i-QW3U8q9gqCreU8hvXKjp44 (Ivar Virgin)	i-DuMmQVGSnykDcj8ZwohCuA; i-Lr6SgKhYd2CyYMfVp5ZboP; i-XnAJTZxq8aH1QaVGLczDrb; i-XxxhK5cXr2wqWtUSsWnphS	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1964/mot-1964--fk--00576.xml
